,city,haha,care,like,angry,love,sad,wow
0,radfahrer frankfurt,329,29,3292,713,164,898,38
0,radfahrer berlin,315,2,792,50,0,346,12
0,cyclist seattle,53,209,2079,4,210,601,20
0,cyclist sydney,275,1,372,85,13,101,69
0,fietser amsterdam,21,56,755,76,137,104,61
0,radfahrer köln,259,16,875,254,136,135,28
0,radwege berlin,1039,0,1954,296,64,23,3
0,radwege frankfurt,965,0,7058,1255,689,124,61
0,amsterdam fietspad,575,132,787,0,959,2,0
0,radwege wiesbaden,294,0,2047,248,126,7,1
0,radfahrer münster,606,2,5122,751,191,228,228
0,radwege münster,317,1,2591,186,87,13,2
0,radfahrer mönchengladbach,63,7,1063,78,9,196,31
0,radwege mönchengladbach,157,5,770,231,13,77,13
0,Stuttgart radfahrer,310,0,3465,901,312,1419,89
0,Stuttgart radwege,449,0,1459,238,65,117,0
0,Stuttgart radweg,603,2,1628,223,18,637,10
